"Nom","Téléphone","Adresse","Adresse2","CODE POSTAL","VILLE","Burger Original","Burger Sésame","Burger Poulet","Burger Bacon","Végé Creton Traditionnel","Végé Creton Blé","Végé Creton Blé Fines Herbes ","Végé Creton Fines-Herbes","Végé Pâté Traditionnel","Végé Pâté Méditerranéen","Végé Pâté Pesto",,,,,,,,,,,
"Épicerie-Santé L'Heptade","(418) 835-3191","5350,  Boul. Guillaume-Couture, Lévis, G6V 4Z2","5350,  Boul. Guillaume-Couture","G6V 4Z2","Lévis","En magasin","En magasin"," "," ","En magasin"," "," "," "," "," "," ",,,,,,"","","","","",""
"La Chaudronnée","(418) 603-3915","1201 rue Charles-Rodrigue, Lévis, G6W 1N0","1201 rue Charles-Rodrigue","G6W 1N0","Lévis"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," ",,,,,,,,,,,
"Avril","(418) 903-5454","1218 rue de la Concorde, Lévis, G6W0M7","1218 rue de la Concorde","G6W0M7","Lévis","En magasin","En magasin"," ","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin",,,,,,,,,,,
"Produits Santé L.D.","(418) 837-2340","1200, Alphonse-Desjardins, Lévis, G6V 6Y8","1200, Alphonse-Desjardins","G6V 6Y8","Lévis","En magasin"," ","En magasin","En magasin","En magasin"," "," "," "," ","En magasin"," ",,,,,,,,,,,
"Grandeur-Nature","(418) 248-8897","100 Rue Saint Thomas, Montmagny, G5V 1M1","100 Rue Saint Thomas","G5V 1M1","Montmagny","En magasin"," "," "," ","En magasin","En magasin"," "," "," "," "," ",,,,,,,,,,,
"Clinique Denyse Lessard","(418) 387-3932","450 Boulevard Vachon, Sainte-Marie, G6E 1M1","450 Boulevard Vachon","G6E 1M1","Sainte-Marie"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," ",,,,,,,,,,,
"Vivre au Naturel","(418) 387-7170","85 Rue Notre Dame, Sainte-Marie, G6E 3Z4","85 Rue Notre Dame","G6E 3Z4","Sainte-Marie"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," ",,,,,,,,,,,
"Naturo Santé","(418) 228-9735","8585 Boulevard Lacroix, Saint-Georges, G5Y 5L6","8585 Boulevard Lacroix","G5Y 5L6","Saint-Georges"," ","En magasin"," "," ","En magasin"," "," ","En magasin"," "," "," ",,,,,,,,,,,
"Le Jardin des Sages","(418) 228-0317","10435 1er avenu, Saint-Georges, G5Y 6X8","10435 1er avenu","G5Y 6X8","Saint-Georges","En magasin"," ","En magasin"," ","En magasin"," "," ","En magasin","En magasin"," "," ",,,,,,,,,,,
"La Prèle des champs","(418) 338-8088","1081 Rue Johnson, Thetford Mines, G6G 5W7","1081 Rue Johnson","G6G 5W7","Thetford Mines"," ","En magasin"," "," ","En magasin"," "," "," "," "," "," ",,,,,,,,,,,
