"Nom","Téléphone","Adresse","Adresse2","CODE POSTAL","VILLE","LATITUDE","LONGITUDE","Burger Original","Burger Sésame","Burger Poulet","Burger Bacon","Végé Creton Traditionnel","Végé Creton Blé","Végé Creton Blé Fines Herbes ","Végé Creton Fines-Herbes","Végé Pâté Traditionnel","Végé Pâté Méditerranéen","Végé Pâté Pesto"
"Épicerie-Santé L'Heptade","(418) 835-3191","5350,  Boul. Guillaume-Couture, Lévis, G6V 4Z2","5350,  Boul. Guillaume-Couture","G6V 4Z2","Lévis","46.7923202","-71.1812481","En magasin","En magasin"," "," ","En magasin"," "," "," "," "," "," "
"La Chaudronnée","(418) 603-3915","1201 rue Charles-Rodrigue, Lévis, G6W 1N0","1201 rue Charles-Rodrigue","G6W 1N0","Lévis","46.786422","-71.181806"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Avril","(418) 903-5454","1218 rue de la Concorde, Lévis, G6W0M7","1218 rue de la Concorde","G6W0M7","Lévis","46.729577","-71.260201","En magasin","En magasin"," ","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Produits Santé L.D.","(418) 837-2340","1200, Alphonse-Desjardins, Lévis, G6V 6Y8","1200, Alphonse-Desjardins","G6V 6Y8","Lévis","46.7976239","-71.1700814","En magasin"," ","En magasin","En magasin","En magasin"," "," "," "," ","En magasin"," "
"Grandeur-Nature","(418) 248-8897","100 Rue Saint Thomas, Montmagny, G5V 1M1","100 Rue Saint Thomas","G5V 1M1","Montmagny","46.979988","-70.55829","En magasin"," "," "," ","En magasin","En magasin"," "," "," "," "," "
"Clinique Denyse Lessard","(418) 387-3932","450 Boulevard Vachon, Sainte-Marie, G6E 1M1","450 Boulevard Vachon","G6E 1M1","Sainte-Marie","46.445182","-71.025056"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Vivre au Naturel","(418) 387-7170","85 Rue Notre Dame, Sainte-Marie, G6E 3Z4","85 Rue Notre Dame","G6E 3Z4","Sainte-Marie","46.438637","-71.023658"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Naturo Santé","(418) 228-9735","8585 Boulevard Lacroix, Saint-Georges, G5Y 5L6","8585 Boulevard Lacroix","G5Y 5L6","Saint-Georges","46.134051","-70.699089"," ","En magasin"," "," ","En magasin"," "," ","En magasin"," "," "," "
"Le Jardin des Sages","(418) 228-0317","10435 1er avenu, Saint-Georges, G5Y 6X8","10435 1er avenu","G5Y 6X8","Saint-Georges","46.126864","-70.685317","En magasin"," ","En magasin"," ","En magasin"," "," ","En magasin","En magasin"," "," "
"La Prèle des champs","(418) 338-8088","1081 Rue Johnson, Thetford Mines, G6G 5W7","1081 Rue Johnson","G6G 5W7","Thetford Mines","46.090099","-71.332669"," ","En magasin"," "," ","En magasin"," "," "," "," "," "," "
"Provigo","(819) 868-8630","1350 Rue Sherbrooke, Magog, J1X 2T3","1350 Rue Sherbrooke","J1X 2T3","Magog","45.273742","-72.133405"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Avril","(819) 742-0200","2385 rue Principale, Magog, J1X 0J4","2385 rue Principale","J1X 0J4","Magog","45.281517","-72.185429","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Métro","(819) 843-9202 ","460 Rue Saint-Patrice Ouest, Magog, J1X 1W9","460 Rue Saint-Patrice Ouest","J1X 1W9","Magog","45.267286","-72.15402"," ","En magasin","En magasin","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Le Marché Végétarien Magog","(819) 843-4419 ","930 Rue Principale , Magog, J1X 2B6","930 Rue Principale ","J1X 2B6","Magog","45.269058","-72.159372","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Coopérative d'Alentour","(819) 562-3443 ","4740 Boulevard Industriel, Sherbrooke, J1L 3A3","4740 Boulevard Industriel","J1L 3A3","Sherbrooke","45.395246","-71.982242","En magasin","En magasin","En magasin"," ","En magasin"," "," ","En magasin"," "," "," "
"Coopérative La Grande Ruche","(819) 562-9973 ","25 Rue Bryant, Sherbrooke, J1J 3E5","25 Rue Bryant","J1J 3E5","Sherbrooke","45.399386","-71.916502","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin"," "," "
"Le Silo Épicerie Bio-Vrac","(819) 791-9776","385 rue King, Sherbrooke, J1G 1B4","385 rue King","J1G 1B4","Sherbrooke","45.408182","-71.880798"," "," "," "," ","En magasin"," "," "," ","En magasin","En magasin","En magasin"
"IGA EXtra","(819) 564-8686","775 rue Galt ouest, Sherbrooke, J1H 1Z1","775 rue Galt ouest","J1H 1Z1","Sherbrooke","45.394553","-71.897726"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Le Marché Végétarien","(819) 823-7646 ","50 Boulevard Jacques-Cartier N, Sherbrooke, J1J 2Z8","50 Boulevard Jacques-Cartier N","J1J 2Z8","Sherbrooke","45.399604","-71.917994","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin"," "
